PLOT_ID,DATE,YEAR,MONTH,DAY,YR_POST_HARVEST,TREATMENT,PLOT_NUMBER,NUMBER_CAMAS,NUMBER_SCAPES,BROWSE,BARE_GROUND,ROCK,Notes,LVS1,LVS2,LVS3,LVS4,LVS5,LVS6,LVS7,LVS8,LVS9,LVS10,LVS11,LVS12,LVS13,LVS14,LVS15,LVS16,AVG_LVS,NUMBER_FL1,NUMBER_FL2,NUMBER_FL3,NUMBER_FL4,NUMBER_FL5,NUMBER_FL6,NUMBER_FL7,NUMBER_FL8,NUMBER_FL9,NUMBER_FL10,NUMBER_FL11,NUMBER_FL12,NUMBER_FL13,NUMBER_FL14,NUMBER_FL15,NUMBER_FL16,NUMBER_FL17,NUMBER_FL18,NUMBER_FL19,NUMBER_FL20,AVG_FL,RATIO_FL
C1,5/30/15,2015,5,30,1,C,1,130,19,2,10,0,ONLY 12 CAMAS SAMPLED FOR LEAVES,1,1,1,1,3,3,6,3,5,1,5,5,,,,,2.916666667,11,19,9,6,7,5,,,,,,,,,,,,,,,9.5,0.146153846
C2,5/30/15,2015,5,30,1,C,2,62,18,NOT INCLUDING MUCH RODENT BROWSE,5,0,,2,5,5,1,4,4,1,6,5,5,4,5,6,6,6,6,4.4375,17,9,11,7,22,16,,,,,,,,,,,,,,,13.66666667,0.290322581
C3,5/30/15,2015,5,30,1,C,3,138,21,2,0,0,,2,3,1,1,5,6,5,4,2,6,2,5,1,2,2,3,3.125,9,9,17,7,7,8,,,,,,,,,,,,,,,9.5,0.152173913
C4,5/30/15,2015,5,30,1,C,4,55,6,HEAVY,10,0,,1,5,1,2,2,1,1,6,1,6,5,6,1,1,5,4,3,7,7,,,,,,,,,,,,,,,,,,,7,0.109090909
C5,5/30/15,2015,5,30,1,C,5,151,26,NA,1,0,ONLY 12 CAMAS SAMPLED FOR LEAVES,6,6,6,1,1,2,2,5,6,5,2,1,6,,,,3.769230769,NA,,,,,,,,,,,,,,,,,,,,,0.17218543
C6,5/30/15,2015,5,30,1,C,6,152,26,1,0,1,,1,5,6,4,4,6,6,1,1,3,2,4,3,5,3,9,3.9375,6,,,,,,,,,,,,,,,,,,,,6,0.171052632
C7,5/30/15,2015,5,30,1,C,7,114,3,NA,10,0,,4,4,1,1,5,3,1,4,1,2,3,1,2,1,2,3,2.375,NA,,,,,,,,,,,,,,,,,,,,,0.026315789
C8,5/30/15,2015,5,30,1,C,8,510,14,NA,0,0,,3,2,2,1,1,1,1,4,3,5,5,5,2,4,4,1,2.75,9,8,6,8,,,,,,,,,,,,,,,,,7.75,0.02745098
C9,5/30/15,2015,5,30,1,C,9,125,5,0,2,0,,6,4,5,3,4,6,6,1,5,5,2,4,7,2,2,4,4.125,NA,,,,,,,,,,,,,,,,,,,,,0.04
C11,5/30/15,2015,5,30,1,C,11,136,10,7,10,0,,2,1,2,5,5,2,2,2,4,6,2,7,3,4,1,1,3.0625,NA,,,,,,,,,,,,,,,,,,,,,0.073529412
C12,5/30/15,2015,5,30,1,C,12,176,26,NA,5,0,CHECK AGREXA (ÒHAIRÓ?),2,4,4,3,3,8,4,2,3,5,1,2,2,2,1,1,2.9375,9,7,4,4,6,6,6,12,,,,,,,,,,,,,6.75,0.147727273
T1,5/30/15,2015,5,30,1,T,1,75,4,1,75,0,ONLY 12 CAMAS SAMPLED FOR LEAVES,3,4,1,2,2,3,3,6,4,2,2,2,,,,,2.833333333,10,5,6,,,,,,,,,,,,,,,,,,7,0.053333333
T2,5/30/15,2015,5,30,1,T,2,108,12,1,30,0,,6,1,1,2,3,1,6,1,1,5,5,2,6,3,4,1,3,10,10,8,16,7,8,,,,,,,,,,,,,,,9.833333333,0.111111111
T3,5/30/15,2015,5,30,1,T,3,85,9,5,45,0,,1,1,6,1,1,1,5,1,1,3,1,1,6,5,1,1,2.25,9,23,,,,,,,,,,,,,,,,,,,16,0.105882353
T4,5/30/15,2015,5,30,1,T,4,102,17,17,50,0,,6,2,6,1,1,2,6,2,2,1,2,4,3,1,1,2,2.625,NA,,,,,,,,,,,,,,,,,,,,,0.166666667
T5,5/30/15,2015,5,30,1,T,5,123,2,1,40,0,,1,2,2,3,1,2,2,3,1,1,2,2,1,1,2,3,1.8125,NA,,,,,,,,,,,,,,,,,,,,,0.016260163
T6,5/30/15,2015,5,30,1,T,6,103,3,1,60,1,,1,2,4,2,5,1,2,3,3,3,2,2,2,1,5,5,2.6875,5,,,,,,,,,,,,,,,,,,,,5,0.029126214
T7,5/30/15,2015,5,30,1,T,7,65,3,Y,50,0,,3,4,4,3,1,2,3,1,6,4,2,2,2,4,1,3,2.8125,NA,,,,,,,,,,,,,,,,,,,,,0.046153846
T8,5/30/15,2015,5,30,1,T,8,316,3,Y,35,0,SW of plot 9,1,1,1,1,2,2,2,2,1,1,2,5,2,2,1,1,1.6875,4,5,,,,,,,,,,,,,,,,,,,4.5,0.009493671
T9,5/30/15,2015,5,30,1,T,9,209,2,Y,30,0,,2,1,6,3,1,2,6,3,6,1,2,1,5,2,4,2,2.9375,NA,,,,,,,,,,,,,,,,,,,,,0.009569378
T11,5/30/15,2015,5,30,1,T,11,91,6,H,30,0,,1,3,2,1,1,5,2,2,2,1,6,4,3,3,1,1,2.375,NA,,,,,,,,,,,,,,,,,,,,,0.065934066
T12,5/30/15,2015,5,30,1,T,12,95,7,2,70,0,CHECK AGREXA (ÒHAIRÓ?),4,5,2,3,3,5,6,6,1,2,2,2,2,4,5,1,3.3125,5,5,12,6,,,,,,,,,,,,,,,,,7,0.073684211
C4,5/28/16,2016,5,28,2,C,4,62,16,6,20,0,,1,3,7,4,2,2,2,1,1,1,5,5,2,7,3,2,3,22,4,13,7,8,8,12,,,,,,,,,,,,,,10.57142857,0.258064516
C5,5/28/16,2016,5,28,2,C,5,177,37,2,5,1,,4,4,1,2,4,1,1,2,2,6,1,4,4,1,1,6,2.75,9,5,20,12,10,4,8,,,,,,,,,,,,,,9.714285714,0.209039548
C6,5/28/16,2016,5,28,2,C,6,150,29,0,0,0,,1,1,4,5,1,1,3,5,1,3,4,5,4,4,3,2,2.9375,10,8,8,6,10,10,13,,,,,,,,,,,,,,9.285714286,0.193333333
C9,5/28/16,2016,5,28,2,C,9,380,24,0,0,0,,4,2,1,1,6,4,2,4,4,3,2,1,1,2,3,1,2.5625,5,5,7,8,6,7,7,9,,,,,,,,,,,,,6.75,0.063157895
C8,5/28/16,2016,5,28,2,C,8,415,25,3,1,0,,1,2,3,2,2,1,2,4,2,4,1,4,3,5,2,3,2.5625,15,5,6,9,10,5,6,,,,,,,,,,,,,,8,0.060240964
T4,5/28/16,2016,5,28,2,T,4,82,12,3,35,0,,2,5,6,7,2,2,1,7,1,1,3,7,2,2,2,3,3.3125,17,6,5,13,18,12,,,,,,,,,,,,,,,11.83333333,0.146341463
T5,5/28/16,2016,5,28,2,T,5,95,11,0,5,0,,2,8,1,3,4,3,2,2,2,4,2,3,2,2,5,1,2.875,12,23,10,9,,,,,,,,,,,,,,,,,13.5,0.115789474
T6,5/28/16,2016,5,28,2,T,6,120,9,0,1,0,,1,1,2,3,1,1,1,1,1,1,3,3,3,3,4,5,2.125,7,16,15,8,13,,,,,,,,,,,,,,,,11.8,0.075
T9,5/28/16,2016,5,28,2,T,9,460,27,0,0,0,,2,2,5,1,1,5,1,2,5,5,3,1,1,5,2,1,2.625,5,5,5,6,7,7,7,8,8,,,,,,,,,,,,6.444444444,0.058695652
T8,5/28/16,2016,5,28,2,T,8,410,21,0,1,0,,1,2,3,3,1,2,1,1,2,2,2,2,1,3,3,2,1.9375,11,13,7,7,8,11,6,,,,,,,,,,,,,,9,0.051219512
C2,6/15/16,2016,6,15,2,C,2,90,27,1,2,0,,1,3,4,3,2,2,1,1,7,2,5,6,5,4,5,5,3.5,11,4,10,11,17,8,,,,,,,,,,,,,,,10.16666667,0.3
C11,6/15/16,2016,6,15,2,C,11,132,31,0,5,0,ONLY 12 CAMAS SAMPLED FOR LEAVES,2,4,4,1,3,2,6,7,6,2,5,4,,,,,3.833333333,8,12,8,11,12,11,,,,,,,,,,,,,,,10.33333333,0.234848485
C7,6/15/16,2016,6,15,2,C,7,120,10,1,25,1,,4,3,4,3,3,2,2,2,3,5,5,2,2,4,2,2,3,10,10,6,8,12,7,,,,,,,,,,,,,,,8.833333333,0.083333333
C12,6/15/16,2016,6,15,2,C,12,160,15,1,1,0,,2,1,6,5,5,2,4,4,4,5,1,1,3,3,1,2,3.0625,6,10,7,7,8,8,9,,,,,,,,,,,,,,7.857142857,0.09375
C3,6/15/16,2016,6,15,2,C,3,56,12,0,7,0,,3,5,3,3,7,3,3,2,3,5,1,3,4,3,1,6,3.4375,6,18,8,16,10,32,,,,,,,,,,,,,,,15,0.214285714
C10,6/15/16,2016,6,15,2,C,10,36,23,2,0,0,,5,5,3,5,5,5,3,5,5,4,5,6,6,,,,4.769230769,26,10,13,12,17,14,,,,,,,,,,,,,,,15.33333333,0.638888889
T2,6/15/16,2016,6,15,2,T,2,88,26,1,4,0,,6,5,5,2,5,5,2,1,5,5,6,4,5,3,4,8,4.4375,13,20,12,20,15,13,,,,,,,,,,,,,,,15.5,0.295454545
T11,6/15/16,2016,6,15,2,T,11,90,9,0,10,0,,2,5,4,4,2,2,4,5,4,7,1,3,4,3,2,3,3.4375,13,9,20,9,12,6,10,,,,,,,,,,,,,,11.28571429,0.1
T7,6/15/16,2016,6,15,2,T,7,60,13,3,15,0,,2,3,4,1,2,2,2,3,4,5,2,5,3,4,2,2,2.875,9,15,12,13,10,8,,,,,,,,,,,,,,,11.16666667,0.216666667
T12,6/15/16,2016,6,15,2,T,12,49,4,0,5,0,,6,5,4,1,2,1,1,2,4,4,2,3,6,1,1,4,2.9375,6,7,,,,,,,,,,,,,,,,,,,6.5,0.081632653
T3,6/15/16,2016,6,15,2,T,3,35,9,0,5,0,,3,3,4,4,2,5,4,4,5,4,5,5,5,3,3,1,3.75,15,12,9,10,7,7,19,,,,,,,,,,,,,,11.28571429,0.257142857
T10,6/15/16,2016,6,15,2,T,10,4,1,1,0,0,,3,5,3,3,,,,,,,,,,,,,3.5,NA,,,,,,,,,,,,,,,,,,,,,0.25
C2,6/21/17,2017,6,21,3,C,2,55,7,4,0,0,,4,6,1,2,5,6,5,5,2,2,3,8,6,6,4,1,4.125,8,12,15,,,,,,,,,,,,,,,,,,11.66666667,0.127272727
C3,6/21/17,2017,6,21,3,C,3,73,8,0,0,0,,2,6,2,4,1,1,4,5,5,5,1,2,1,2,5,1,2.9375,5,7,7,7,8,6,14,12,,,,,,,,,,,,,8.25,0.109589041
C3,6/21/17,2017,6,21,3,C,3,90,9,2,0,0,,5,5,5,5,3,4,6,2,1,2,2,6,6,3,3,4,3.875,6,7,5,5,8,6,7,,,,,,,,,,,,,,6.285714286,0.1
T5,6/21/17,2017,6,21,3,C,5,75,20,1,0,0,,4,2,5,3,2,3,5,2,2,6,3,5,1,4,3,1,3.1875,10,12,10,10,9,15,7,8,8,8,8,9,11,11,13,7,16,6,5,5,9.4,0.266666667
C7,6/22/17,2017,6,22,3,C,7,110,5,0,0,0,,6,3,6,2,2,5,3,3,5,4,6,1,2,3,3,4,3.625,10,17,8,8,8,,,,,,,,,,,,,,,,10.2,0.045454545
