Abbrev,Latin_name,Origin,Lifecycle,Notes
MYOLAX,Myosotis_laxa,,,
FRAVIR,Fragaria_virginiana,,,
OXAACE,Oxalis_acetosela,,,
VERSER,Veronica_serpiifolium,,,???
HYPPER,Hypericum_perforatum,,,
CAMLEI,Camas_leichtlinii,,,
PLALAN,Plantago_lanceolata,,,
VICTET,Vicia_tetrasperma,,,
GALTRI,Gallium_trifidum,,,???
DAUCAR,Daucus_carota,,,
RUBLAC,Rubus_laciniatus,,,
RUBURS,Rubus_ursinus,,,
ROSGYM,Rosa_gymnocarpa,,,
LEUVUL,Leucanthemum_vulgare,,,
HIERAD,Hieracium_radicata,,,
RUBBIF,Rubus_bifrons,,,
DIAARM,Dianthus_armeria,,,
SISIDA,Sisyrinchium_idahoense,,,
DICCON,Dichelostemma_congesta,,,
TRIHYA,Triteleia_hyacinthina,,,
VICSAT,Vicia_sativa,,,
ERIPHI,Erigeron_philadelphicus,,,
CENERY,Centauria_erythraea,,,
ANAARV,Anagalis_arvensis,,,
TRIDUB,Trifolium_dubium,,,
SYMSP.,Symphoricarpos_sp.,,,
PTEAQU,Pteridium_aquifolium,,,
POLYGO,Polygonum_sp.,,,
RANORT,Ranunculus_orthorhynchus,,,
NAVSQU,Navarretia_squarrosa,,,
PRUVUL,Prunella_vulgaris,,,
ARRELA,Arrhenatherum_elatius,,,
ANTODO,Anthoxanthum_odoratum,,,
DANCAL,Danthonia_californica,,,
HOLLAN,Holcus_lanatus,,,
SHEARV,Sherardia_arvensis,,,
JUNBUF,Juncus_bufonius,,,
CAREX,Carex_sp.,,,
TRIPRA,Trifolium_pratense,,,
VERPER,Veronica_persica,Is all VERSER actually VERPER? Is it really VERPER?,,
AIRCAR,Aira_caryophylla,previously hair?,,
