OBS_ID,YR,TRTMT,YR_TRTMT,ACMAME,AGREXA,AIRCAR,AMEALN,ANAARV,ANTODO,ARRELA,ASTER,BROJAP,CAMLEI,CAREX,CENERY,CERARV,DANCAL,DAUCAR,DIAARM,ELEOCHARIS,ELYGLA,EPIBRA,EPIDEN,EQUISETUM,ERIPHI,FRAVIR,GALDIV,GALTRI,HIERAD,HOLLAN,HYPANA,HYPPER,JUNBUF,JUNCUS,JUNENS,LEUVUL,LUPINUS,MYOLAX,NAVSQU,PLALAN,POAANN,POLYGO,PRUVUL,PTEAQU,RANORT,ROSGYM,RUBBIF,RUBLAC,RUBURS,RUMACE,RUMEX,SHEARV,SISIDA,STARIG,SYMSP.,TRIDUB,TRIHYA/DICCON,TRIPRA,VERPER,VERSCU,VERSER,VICSAT,VICTET,OXACOR,GRASS,NON_GRASS
C1_1,I,C,CI,0,0,0,0,0,80,25,0,0,75,0,0,0,0,21,0,0,0,0,0,0,0,55,0,0,15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,2,0,105,187
C11_1,I,C,CI,0,0,0,0,0,60,25,0,0,70,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,12,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,95,98
C12_1,I,C,CI,0,7,0,0,0,80,20,0,0,90,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,30,10,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,117,200
C2_1,I,C,CI,0,0,0,0,0,80,45,0,0,70,0,0,0,0,24,0,0,0,0,0,0,0,60,0,0,2,0,0,0,0,0,0,2,0,2,0,2,0,0,0,30,0,10,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,125,224
C3_1,I,C,CI,0,0,0,0,0,50,25,0,0,85,0,0,0,0,16,0,0,0,0,0,0,0,35,0,0,13,0,0,0,0,0,0,4,0,1,0,2,0,0,0,42,0,0,13,0,2,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,75,224
C4_1,I,C,CI,0,0,0,0,2,35,0,0,0,40,0,0,0,0,40,2,0,0,0,0,0,30,0,0,0,5,35,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,239
C5_1,I,C,CI,0,0,0,0,0,60,15,0,0,85,0,0,0,2,25,0,0,0,0,0,0,0,13,0,0,12,2,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,4,0,23,1,0,0,0,0,5,0,10,0,0,0,0,0,3,0,79,189
C6_1,I,C,CI,0,0,0,0,0,95,2,0,0,95,0,0,0,0,4,0,0,0,0,0,0,0,60,0,0,6,3,0,1,0,0,0,14,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,197
C7_1,I,C,CI,0,0,0,0,0,90,0,0,0,80,0,0,0,0,25,2,0,0,0,0,0,0,0,0,10,14,6,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,15,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,96,184
C8_1,I,C,CI,0,30,0,6,0,30,0,0,0,95,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,16,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,97,139
