PLOT_ID	TRTMT	AGREXA	AMEALN	ANAARV	ANTODO	ARRELA	CAMLEI	CENERY	DANCAL	DAUCAR	DIAARM	ERIPHI	FRAVIR	GALTRI	HIERAD	HOLLAN	HYPPER	JUNBUF	JUNCUS	LEUVUL	MYOLAX	NAVSQU	PLALAN	POLYGO	PRUVUL	PTEAQU	RANORT	ROSGYM	RUBBIF	RUBLAC	RUBURS	RUMACE	SISIDA	SYMSP.	TRIDUB	TRIHYA/DICCON	VERSER	VICSAT	VICTET
C1	C	0	0	0	80	25	75	0	0	21	0	0	55	0	15	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	4	2
C11	C	0	0	0	60	25	70	0	0	4	0	0	0	0	0	10	2	0	12	1	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	2
C12	C	7	0	0	80	20	90	0	0	8	1	0	1	0	30	10	0	0	0	55	0	0	0	0	0	0	0	0	10	0	4	0	0	0	0	1	0	0	0
C2	C	0	0	0	80	45	70	0	0	24	0	0	60	0	2	0	0	0	0	2	2	0	2	0	0	30	0	10	0	0	17	0	0	0	0	0	0	2	3
C3	C	0	0	0	50	25	85	0	0	16	0	0	35	0	13	0	0	0	0	4	1	0	2	0	0	42	0	0	13	0	2	0	2	0	0	0	0	9	0
C4	C	0	0	2	35	0	40	0	0	40	2	30	0	0	5	35	0	0	0	20	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	30
C5	C	0	0	0	60	15	85	0	2	25	0	0	13	0	12	2	0	0	0	7	1	0	0	0	0	0	0	0	4	0	23	1	0	5	0	10	0	0	3
C6	C	0	0	0	95	2	95	0	0	4	0	0	60	0	6	3	1	0	0	14	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1
C7	C	0	0	0	90	0	80	0	0	25	2	0	0	10	14	6	0	0	0	16	0	0	0	0	0	0	0	0	15	0	12	1	1	0	0	0	0	0	8
C8	C	30	6	0	30	0	95	0	2	5	0	0	0	0	0	35	0	0	8	0	2	0	0	0	0	0	0	16	0	3	1	0	2	0	0	0	0	0	1
C9	C	0	0	0	50	10	80	0	0	10	0	0	0	0	5	6	0	0	4	13	0	0	0	0	0	0	0	70	2	3	5	0	2	0	0	0	0	0	0
T1	T	0	0	0	35	10	80	0	0	8	0	0	8	0	8	0	0	0	0	10	20	0	0	0	0	16	0	0	0	0	0	0	0	0	0	17	0	2	0
T11	T	0	0	0	15	15	75	0	0	5	0	0	0	0	0	0	0	8	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	32	0	0	2
T12	T	10	0	0	40	0	70	0	0	70	0	0	4	0	11	0	2	2	0	3	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	5	0
T2	T	0	0	0	35	30	80	0	0	3	0	0	6	0	0	0	0	0	0	2	16	0	5	0	0	15	0	0	0	0	1	0	0	0	0	2	0	0	10
T3	T	0	0	0	20	15	65	0	0	4	0	0	35	0	0	2	0	0	0	11	6	0	2	0	2	31	0	0	0	0	0	0	0	0	0	0	0	0	0
T4	T	0	0	12	0	4	50	1	0	35	1	0	0	0	2	6	0	1	0	3	1	0	0	0	0	0	0	0	25	0	0	0	1	0	0	1	0	0	35
T5	T	0	0	2	10	4	72	0	0	3	0	0	0	0	2	0	0	0	0	1	12	0	2	0	0	0	0	0	0	0	12	10	0	0	1	0	0	0	3
T6	T	0	0	0	50	10	80	0	0	1	0	0	0	9	1	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	4	0	0	0	2	10	0	0
T7	T	0	0	0	50	0	65	0	0	18	0	4	0	0	2	8	0	0	0	20	0	1	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0
T8	T	15	0	0	4	0	85	0	0	8	0	0	0	0	0	40	0	0	3	5	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	20
T9	T	0	0	0	35	1	75	0	0	10	1	0	6	0	12	8	0	0	0	6	0	0	0	0	0	0	0	8	0	0	3	0	3	0	0	0	0	0	4
