PLOT_ID,TRTMT,ACMAME,AGREXA,AIRCAR,ANAARV,ANTODO,ARRELA,ASTER,BROJAP,CAMLEI,CAREX,CENERY,CERARV,DANCAL,DAUCAR,DIAARM,DICCON,ELEOCHARIS,ELYGLA,EPIBRA,EPIDEN,ERIPHI,FRAVIR,GALTRI,HIERAD,HOLLAN,HYPANA,HYPPER,JUNBUF,JUNCUS,LEUVUL,MYOLAX,NAVSQU,PLALAN,POAANN,POLYGO,PRUVUL,PTEAQU,RANORT,ROSGYM,RUBBIF,RUBURS,RUMACE,RUMEX,SHEARV,SISIDA,STARIG,SYMSP.,TRIDUB,TRIHYA,TRIPRA,VERPER,VERSER,VICTET
C10,C,0,0,0,0,10,75,5,0,40,70,0,0,0,0,0,0,70,0,2,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0
C11,C,0,0,0,0,0,70,0,0,95,0,0,0,12,1,2,0,0,0,0,0,0,0,0,4,20,0,1,0,20,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
C12,C,0,0,2,0,80,10,0,0,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,1,0,0,15,0,0,0,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1
C2,C,0,0,0,0,50,25,0,0,90,0,0,0,0,9,1,0,0,2,0,0,0,55,0,4,0,0,1,0,0,10,6,0,15,0,0,0,10,0,40,0,22,0,0,7,0,0,0,0,0,0,0,0,5
C3,C,0,0,0,0,35,20,0,0,65,0,0,0,0,6,0,0,0,0,0,0,0,70,0,0,2,0,0,0,0,60,1,0,10,0,0,4,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3
C4,C,0,0,0,30,25,0,0,0,55,0,0,0,0,40,0,0,0,0,0,0,20,0,0,10,4,0,1,0,0,15,1,0,0,0,0,0,0,0,0,45,0,2,0,3,0,0,0,0,0,0,0,0,3
C5,C,0,0,0,0,25,25,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,25,0,1,0,0,0,0,0,5,3,0,5,0,0,0,0,0,0,5,10,2,0,0,0,0,5,0,12,1,0,0,0
C6,C,0,1,2,0,40,30,0,5,85,20,1,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,1,0,0,0,0,0
C7,C,0,3,2,1,35,0,0,0,60,1,3,3,0,18,2,0,0,0,0,0,2,0,0,18,0,0,0,1,0,38,3,1,0,1,0,0,30,0,0,0,40,0,0,5,0,0,0,0,0,0,0,1,3
C8,C,0,0,0,0,50,40,0,0,90,0,0,0,10,0,0,0,0,0,0,0,0,10,0,4,5,0,0,10,0,0,5,0,0,0,0,0,0,0,12,0,0,0,0,10,5,0,0,0,30,0,0,0,5
C9,C,0,15,0,0,15,40,0,0,80,40,0,0,8,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,25,0,0,0,0,0,0,15,5,0,0,0,0,10,0,0,0,0,15,0,0,0,15
T10,T,0,0,0,0,7,5,0,0,10,12,4,0,0,0,0,0,0,0,0,75,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,55,0,0,30,0,0,0,0
T11,T,0,0,0,0,40,30,0,0,85,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0
T12,T,2,5,0,0,60,0,0,0,55,0,0,0,0,65,25,0,0,0,0,0,0,0,0,15,18,0,2,0,0,20,0,0,0,0,0,0,2,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0
T2,T,0,0,0,0,80,50,0,0,85,0,0,0,0,6,5,0,0,0,0,0,0,25,0,0,15,0,0,0,0,15,3,0,4,0,0,0,45,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,5
T3,T,0,0,0,0,18,25,0,0,55,0,0,0,0,7,15,0,0,0,0,0,0,80,0,7,0,0,0,0,0,35,0,0,0,0,0,20,20,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1
T4,T,0,0,0,30,20,2,0,0,70,0,0,0,0,33,1,0,0,0,0,0,1,1,0,5,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,3
T5,T,0,0,0,0,50,2,0,20,85,0,0,0,0,7,2,0,0,0,0,0,0,2,0,12,2,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,20,80,0,1,0,0,0,2,0,0,0,0,0
T6,T,0,0,2,0,60,7,0,20,85,0,0,0,0,10,15,1,0,0,0,0,0,1,0,10,10,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,90,0,5,0,0,0,0,0,0,5,0,0
T7,T,0,0,0,2,40,0,0,0,60,0,0,0,0,4,2,0,0,0,0,0,2,0,0,15,0,0,0,0,0,7,2,0,0,4,0,0,0,0,0,0,20,45,0,5,0,0,0,0,0,0,0,0,5
T8,T,0,0,0,0,80,10,0,0,90,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,30,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,5,0,0,0,2
T9,T,0,0,0,0,50,70,0,0,90,5,0,0,0,15,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,60,0,0,0,0,0,0,0,5,0,0,0,0,2,1,0,0,0,0,0,0,0,2
