PLOT_ID,TRTMT,AGREXA,ANAARV,ANTODO,ARRELA,ASTER???,BROJAP,CAMLEI,CAREX,CENERY,DANCAL,DAUCAR,DIAARM,ELEOCHARIS,EPIBRA,EQUISETUM,ERIPHI,FRAVIR,GALDIV,grass???,HIERAD,HOLLAN,HYPANA,HYPPER,JUNCUS,JUNENS,LEUVUL,LUPINUS,MYOLAX,PLALAN,PRUVUL,PTEAQU,RANORT,ROSGYM,RUBBIF,RUBURS,RUMACE,SISIDA,STARIG,SYMSP.,TRIDUB,TRIHYA,VERSCU,VICTET,OXACOR
C11,C,0,0,70,0,0,0,40,10,0,0,0,0,0,6,5,0,0,0,0,0,3,1,0,5,0,0,0,0,0,0,0,0,30,0,0,0,1,0,0,0,5,1,0,0
C12,C,0,0,75,0,0,0,90,0,3,0,9,0,0,0,0,1,4,0,0,6,4,0,2,0,0,25,0,0,0,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0
C2,C,0,0,60,7,0,0,45,0,3,0,3,0,0,0,0,0,50,0,0,3,0,0,0,0,0,20,0,2,10,3,45,0,50,0,30,1,0,0,0,0,0,0,5,0
C3,C,0,0,50,30,0,0,70,0,0,0,15,0,0,0,0,0,60,1,0,0,5,0,0,0,0,18,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,0,8,0
C4,C,0,5,30,0,0,0,55,0,8,0,35,3,0,0,0,3,0,10,0,0,10,0,0,0,0,25,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,4,0
C5,C,4,0,75,18,0,0,55,0,1,0,20,0,0,0,0,0,60,0,0,15,0,0,0,0,0,15,0,0,8,0,0,0,0,0,35,0,0,0,6,0,0,0,0,0
C6,C,0,0,70,50,0,1,40,0,0,3,12,0,0,0,0,0,25,0,0,2,15,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
C7,C,10,0,45,0,0,0,85,0,1,0,30,1,0,0,0,25,3,7,0,0,0,0,1,0,0,65,2,5,0,0,9,0,1,0,50,5,0,0,0,0,0,0,0,2
C9,C,10,0,35,10,33,0,70,5,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,5,0,0,0,0,0,1,20,0,0,0,0,0,0,0,10,0,0,0
T11,T,0,0,40,5,0,0,60,2,0,0,0,0,30,4,5,0,0,0,0,0,8,3,0,30,8,0,0,0,0,0,0,0,8,0,0,0,1,5,0,0,10,0,0,0
T12,T,0,0,85,0,0,0,60,0,1,0,9,0,0,0,0,2,2,0,0,12,2,0,2,0,0,25,0,0,0,0,0,0,0,4,18,10,0,0,0,1,0,0,0,0
T2,T,0,0,65,25,0,0,60,0,0,0,5,0,0,0,0,0,40,0,0,0,7,0,0,0,0,5,0,0,0,0,30,0,0,0,10,7,0,0,0,0,0,0,10,0
T3,T,0,0,55,25,0,0,70,0,0,0,4,1,0,0,0,0,85,0,0,1,0,0,0,0,0,10,0,0,0,15,0,0,3,0,5,0,0,0,0,0,0,0,5,0
T4,T,0,2,15,5,0,0,55,0,6,0,70,0,0,0,0,15,2,3,0,5,5,0,0,0,0,12,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,2,0
T5,T,0,0,70,20,0,15,50,0,0,0,20,0,0,0,0,0,20,0,0,0,5,0,0,0,0,50,0,0,0,2,0,0,0,0,40,15,0,0,0,0,0,0,0,0
T6,T,0,0,55,5,0,4,50,0,0,0,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,5,0,0,0,0,5,25,0,0,0,0,0,0,0,0
T7,T,0,0,75,0,0,0,85,0,8,0,30,0,0,0,0,6,0,3,0,7,4,0,0,0,0,25,2,0,0,0,1,0,0,7,18,35,0,0,0,0,0,0,0,0
T9,T,0,0,70,10,2,0,40,6,2,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,33,0,0,0,1,0,0,0,0,0,2,0
