OBS_ID,TRTMT,YR,MDS1,MDS2
C1_1,C,1,0.008070559,0.31287334
C10_2,C,2,-2.517038327,0.217129154
C11_1,C,1,-0.201613708,-0.01003064
C11_2,C,2,-0.736343149,-1.1578928
C11_3,C,3,-0.90265811,0.518518172
C12_1,C,1,0.206891309,0.056441015
C12_2,C,2,-0.001102746,-0.008745421
C12_3,C,3,0.353506866,-0.043976222
C2_1,C,1,0.033423315,0.559696121
C2_2,C,2,-0.056592568,0.472775687
C2_3,C,3,0.245792323,0.99055748
C3_1,C,1,0.060637525,0.316938722
C3_2,C,2,0.238000141,0.729062551
C3_3,C,3,0.140850501,0.382222807
C4_1,C,1,1.310093886,-0.604498232
C4_2,C,2,1.10143236,-0.456466858
C4_3,C,3,1.153181484,-0.331187379
C5_1,C,1,0.120284463,0.054809661
C5_2,C,2,0.897695152,1.636735977
C5_3,C,3,0.347578993,0.579026618
C6_1,C,1,0.190712661,0.419324626
C6_2,C,2,-0.341130383,0.175179864
C6_3,C,3,-0.263052328,0.500604141
C7_1,C,1,0.385187244,-0.099612212
C7_2,C,2,0.785659468,0.338925514
C7_3,C,3,0.874002594,0.190395741
C8_1,C,1,-0.26158225,-0.833839572
C8_2,C,2,-0.556238373,-0.026352879
C9_1,C,1,-0.032526931,-0.121294979
C9_2,C,2,-0.990800116,-0.621896379
C9_3,C,3,-0.756229882,-0.161056187
T1_1,T,1,-0.206489331,-0.121695637
T10_2,T,2,-4.455607436,-0.057872781
T11_1,T,1,-0.723700612,-0.435933714
T11_2,T,2,-0.318449534,-0.428381466
T11_3,T,3,-0.98414496,-0.086564373
T12_1,T,1,0.523472939,-0.383095118
T12_2,T,2,0.761979162,-0.027402538
T12_3,T,3,0.475663316,0.160373238
T2_1,T,1,-0.327782948,-0.030607809
T2_2,T,2,-0.10254896,0.316073402
T2_3,T,3,0.016614565,0.460576565
T3_1,T,1,-0.097110745,0.68964395
T3_2,T,2,0.152325217,1.076169464
T3_3,T,3,-0.031779657,0.547978991
T4_1,T,1,0.96423806,-1.222581048
T4_2,T,2,0.67028325,-0.650431638
T4_3,T,3,1.16113519,-0.630831145
T5_1,T,1,-0.030167699,-0.772803107
T5_2,T,2,0.353620176,-0.371616014
T5_3,T,3,0.502065898,0.552901763
T6_1,T,1,-0.26853372,-0.233984418
T6_2,T,2,0.184347559,-0.545305243
T6_3,T,3,0.436378673,0.067433501
T7_1,T,1,0.303172138,-0.043740517
T7_2,T,2,0.600600977,-0.206760586
T7_3,T,3,0.525854604,-0.026600137
T8_1,T,1,-0.102346693,-1.135341622
T8_2,T,2,-0.005541392,-0.313912708
T9_1,T,1,0.072681634,-0.205052156
T9_2,T,2,-0.38244988,-0.339443646
T9_3,T,3,-0.503871765,0.424439118
