OBS_ID,YR,TRTMT,MDS1,MDS2
C1_1,I,C,-0.109906167,0.445543628
C11_1,I,C,-0.356505621,-0.001055336
C11_2,II,C,-1.716459293,-0.690782256
C11_3,III,C,1.017981763,0.964020063
C12_1,I,C,0.132790516,0.134031093
C12_2,II,C,-0.055031906,0.004574427
C12_3,III,C,0.300512291,-0.043121904
C2_1,I,C,-0.188614539,0.754651608
C2_2,II,C,-0.408943323,0.627483777
C2_3,III,C,0.188134374,1.282226401
C3_1,I,C,-0.307678081,0.431167778
C3_2,II,C,-0.244594756,0.989520783
C3_3,III,C,-0.108278305,0.521953873
C4_1,I,C,1.568468201,-0.800019439
C4_2,II,C,1.246875548,-0.76008322
C4_3,III,C,1.334059172,-0.606617017
C5_1,I,C,0.013811751,0.095366186
C5_2,II,C,0.909832557,2.020343574
C5_3,III,C,0.255336887,0.765485272
C6_1,I,C,-0.032078076,0.538366702
C6_2,II,C,-0.641353766,0.31766251
C6_3,III,C,0.02969322,0.8195379
C7_1,I,C,0.363429679,-0.104192718
C7_2,II,C,0.913149513,0.228584409
C7_3,III,C,0.957650451,0.038811924
C8_1,I,C,-0.8066671,-0.917496568
C8_2,II,C,-0.898967386,0.106856331
C9_1,I,C,-0.137013659,-0.160290757
C9_2,II,C,-1.644970496,-0.185755406
C9_3,III,C,-0.947514476,-0.585682882
T1_1,I,T,-0.463457161,-0.121070226
T11_1,I,T,-1.176268904,-0.381363316
T11_2,II,T,-0.751218885,-0.315056022
T11_3,III,T,-0.464146216,-1.304179165
T12_1,I,T,0.497458845,-0.551828457
T12_2,II,T,0.835364391,-0.172225987
T12_3,III,T,0.488563613,0.154325268
T2_1,I,T,-0.682128113,0.097907799
T2_2,II,T,-0.370454733,0.489535799
T2_3,III,T,-0.141451271,0.644672265
T3_1,I,T,-0.660302757,0.767943504
T3_2,II,T,-0.44796872,1.369090805
T3_3,III,T,-0.364327725,0.725337363
T4_1,I,T,1.084572411,-1.609538821
T4_2,II,T,0.627232705,-0.947254608
T4_3,III,T,1.332660335,-0.950597348
T5_1,I,T,-0.456307013,-0.953687729
T5_2,II,T,0.098354099,-0.621337979
T5_3,III,T,0.518132243,0.691611166
T6_1,I,T,-0.483958698,-0.308019594
T6_2,II,T,-0.016012048,-0.763551266
T6_3,III,T,0.511615241,0.0218131
T7_1,I,T,0.271588404,-0.118669836
T7_2,II,T,0.356970747,-0.603010053
T7_3,III,T,0.504848118,-0.113042246
T8_1,I,T,-0.865199799,-1.230370971
T8_2,II,T,-0.142555189,-0.356407199
T9_1,I,T,-0.087043409,-0.270209097
T9_2,II,T,-0.850580548,-0.104913768
T9_3,III,T,0.668871063,0.603005885
