OBS_ID,YR,TRTMT,ALL,MDS1,MDS2
C1_1,I,C,CI,0.147386276,0.456617856
C11_1,I,C,CI,-0.398593252,0.208049029
C11_2,II,C,CII,-1.640012284,-0.753656873
C11_3,III,C,CIII,-0.837517593,1.253750512
C12_1,I,C,CI,0.178432531,0.03496818
C12_2,II,C,CII,-0.10913427,0.077477221
C12_3,III,C,CIII,0.237733303,-0.153591928
C2_1,I,C,CI,0.263473244,0.713265966
C2_2,II,C,CII,0.090445102,0.715246187
C2_3,III,C,CIII,0.575215054,1.200581742
C3_1,I,C,CI,0.07636769,0.468747709
C3_2,II,C,CII,0.644741492,0.770969923
C3_3,III,C,CIII,0.312544907,0.477624041
C4_1,I,C,CI,1.0065708,-1.410904916
C4_2,II,C,CII,0.821973604,-1.188548499
C4_3,III,C,CIII,0.944207195,-1.100091374
C5_1,I,C,CI,0.062790691,0.061706929
C5_2,II,C,CII,1.965453346,0.876857265
C5_3,III,C,CIII,0.614918222,0.548795416
C6_1,I,C,CI,0.273508595,0.490017084
C6_2,II,C,CII,-0.372875658,0.48471888
C6_3,III,C,CIII,-0.109726614,0.865797826
C7_1,I,C,CI,0.25467472,-0.22465654
C7_2,II,C,CII,1.029382048,-0.065662965
C7_3,III,C,CIII,0.996687679,-0.250738833
C8_1,I,C,CI,-0.995815308,-0.712927566
C8_2,II,C,CII,-0.818374418,0.266904369
C9_1,I,C,CI,-0.282674445,0.028775846
C9_2,II,C,CII,-1.600809927,-0.247848266
C9_3,III,C,CIII,-1.189624532,0.260236083
T1_1,I,T,TI,-0.391120387,-0.087552226
T11_1,I,T,TI,-1.134770284,-0.366458178
T11_2,II,T,TII,-0.784785924,-0.27225162
T11_3,III,T,TIII,-1.355327462,0.583573634
T12_1,I,T,TI,0.1709385,-0.742223193
T12_2,II,T,TII,0.743436674,-0.442048213
T12_3,III,T,TIII,0.475489861,-0.034651339
T2_1,I,T,TI,-0.546577375,0.134510815
T2_2,II,T,TII,-0.035081749,0.563246169
T2_3,III,T,TIII,0.180492813,0.646987323
T3_1,I,T,TI,0.232428134,0.969839688
T3_2,II,T,TII,0.85949792,1.1203661
T3_3,III,T,TIII,0.20945312,0.75249241
T4_1,I,T,TI,0.331416316,-1.857288152
T4_2,II,T,TII,0.260332946,-1.13755923
T4_3,III,T,TIII,0.877904575,-1.360545301
T5_1,I,T,TI,-0.532077935,-0.923438901
T5_2,II,T,TII,0.032930215,-0.540731894
T5_3,III,T,TIII,0.811667382,0.393754578
T6_1,I,T,TI,-0.582637617,-0.071641019
T6_2,II,T,TII,-0.71971457,0.424898748
T6_3,III,T,TIII,0.500584081,-0.116652181
T7_1,I,T,TI,0.189766463,-0.183018358
T7_2,II,T,TII,0.424863062,-0.554166523
T7_3,III,T,TIII,0.428841667,-0.254012522
T8_1,I,T,TI,-0.943478664,-1.128083793
T8_2,II,T,TII,-0.339644545,-0.294169869
T9_1,I,T,TI,-0.177968693,-0.235484637
T9_2,II,T,TII,-0.833956276,-0.067839138
T9_3,III,T,TIII,-0.494250447,0.927666517
