PLOT,TRTMT,MDS1,MDS2
C1,C,-0.537174103,0.604792806
C11,C,-0.258579888,-0.086186647
C12,C,-0.098464483,0.765012134
C2,C,-0.870206772,0.770469231
C3,C,-0.670259314,0.421060831
C4,C,1.978202216,0.706305183
C5,C,-0.185668805,0.303755559
C6,C,-0.500191662,0.830606456
C7,C,0.223648262,0.624408762
C8,C,0.438630853,-0.735506844
C9,C,0.198855596,-0.019040887
T1,T,-0.573864731,-0.230517882
T11,T,-0.57134555,-1.074759316
T12,T,0.57620739,0.327499668
T2,T,-0.58824849,-0.360758007
T3,T,-1.144507963,-0.164655055
T4,T,2.125627398,-0.210273451
T5,T,-0.2438415,-1.11560927
T6,T,-0.381952952,-0.422166005
T7,T,0.230410977,0.201835344
T8,T,0.770830787,-0.992075977
T9,T,0.081892736,-0.144196631
