PLOT_ID,TRTMT,MDS1,MDS2
C11,C,-1.162609265,-0.49590113
C12,C,0.410522306,-0.068393767
C2,C,-0.502580441,1.077404599
C3,C,-0.063655095,0.572267798
C4,C,1.206346814,-0.729092616
C5,C,0.061559884,0.689384398
C6,C,-0.602393505,0.296648679
C7,C,1.124018209,0.496224047
C9,C,-0.648583325,-1.227939136
T11,T,-0.948699401,-1.262856418
T12,T,0.215244026,0.037725292
T2,T,-0.392593227,0.503726094
T3,T,-0.453069723,0.758167166
T4,T,1.549646551,-0.859609251
T5,T,0.28978311,0.53242639
T6,T,-0.037314558,-0.108432034
T7,T,0.612521122,0.047634027
T9,T,-0.658143483,-0.259384136
